feature,SHAP_Decision Tree,SHAP_Random Forest,SHAP_XGBoost,SHAP_EBM,SHAP_Logistic Regression
callbacks.ncallbacks,0.020193350931255852,0.012132361311263301,0.36825848,0.008302386798016237,0.0004325179883013887
dlllist.avg_dlls_per_proc,0.0,0.043330530000663094,0.092813745,0.0035420556039121144,3.92413456137608e-05
dlllist.ndlls,0.017232067540156343,0.02083787726222505,0.3643537,0.03758344430001784,0.03752117609620849
handles.nkey,0.0,0.025777483984090507,0.76560634,0.005297085123263159,0.00013366720325902506
handles.nmutant,0.0003442257024843565,0.029000197372983694,0.36298215,0.03203284470678672,0.05781335195539009
handles.nsemaphore,0.0004730293003602332,0.020596599146555098,0.77771735,0.027697494524709255,0.011391692813733631
ldrmodules.not_in_init_avg,0.0,0.0030762048659137868,0.16635348,0.00243408155618922,0.0001209062730336289
ldrmodules.not_in_load,6.844608795869147e-05,0.009771130136444445,0.57504576,0.02019313805787932,0.10878206500572411
ldrmodules.not_in_load_avg,0.00026165718989035484,0.004302828973179699,0.08650568,0.021507038498558347,0.008319583398194158
malfind.commitCharge,0.0,0.005286617997131778,0.7072371,0.005572468297853375,0.0013883969848792464
malfind.ninjections,0.0,0.002354390648425523,0.20822331,0.0016543158599864388,0.012867179397491714
malfind.uniqueInjections,0.0021307133017484806,0.0047268438454161855,0.61442304,0.033808446816253813,0.003016493907378671
pslist.avg_handlers,0.06806688662530237,0.06071383302373951,0.7632574,0.0009471608813054047,9.689006047143838e-05
pslist.avg_threads,0.010490950638090355,0.011624921363296974,1.1001163,0.04295272029344707,0.05464026460246492
pslist.nppid,0.0,0.004959457922698193,0.2869736,0.00022330646868958247,0.01608714204914092
psxview.not_in_ethread_pool_false_avg,0.02333373531863771,0.0025664051530058666,0.7228856,0.0033043534222050104,0.012420705986312926
svcscan.kernel_drivers,0.0,0.07151371812823562,0.0,0.0003971365209419835,0.00011827868094353604
svcscan.nactive,0.0,0.010920149593905496,0.18500277,0.0,0.007962367192515087
svcscan.nservices,0.3005744861581057,0.13396708010209546,4.7516007,0.04130584240840319,0.06772369744947115
svcscan.process_services,0.09206249671350482,0.04389306638319822,1.2215793,0.21005532697147192,0.15796123044713176
