,svcscan.nservices,svcscan.kernel_drivers,dlllist.avg_dlls_per_proc,pslist.avg_handlers,handles.nmutant,handles.nkey,handles.nsemaphore,dlllist.ndlls,svcscan.process_services,pslist.avg_threads,ldrmodules.not_in_load,ldrmodules.not_in_load_avg,malfind.uniqueInjections,svcscan.nactive,malfind.commitCharge,ldrmodules.not_in_init_avg,callbacks.ncallbacks,pslist.nppid,psxview.not_in_ethread_pool_false_avg,malfind.ninjections
9434,395,222,49.625,291.9829873,333,803,729,1985,27,12.91426812,64,0.033126294,1.5,122,4,0.051759834,88,12,0.00957759,3
26912,395,222,52.81679241,312.3556468,446,931,780,2165,27,13.94214336,88,0.040527864,1.2,123,7,0.058011592,88,12,0.0,6
47022,389,221,38.85714286,207.0952381,268,682,651,1632,24,10.0,48,0.028588446,1.0,122,3,0.053007743,87,17,0.086956522,3
19371,395,222,49.85024827,280.4463715,382,857,780,2229,27,12.33500561,87,0.039110591,1.23126486,123,6,0.057743595,88,12,0.0,5
17129,395,222,49.625,292.4366272,333,803,729,1985,27,12.8315008,64,0.033126294,1.5,122,4,0.051759834,88,12,0.0,3
37131,389,221,39.24324324,215.1891892,230,667,594,1452,24,10.10810811,42,0.028610354,1.0,120,3,0.053133515,86,15,0.051282051,3
42761,389,221,39.11904762,215.547619,281,677,684,1643,24,10.45238095,47,0.027843602,11.4,122,18455,0.051540284,87,16,0.023809524,57
36233,389,221,40.23076923,220.8974359,259,660,640,1569,24,11.41025641,46,0.02850062,1.0,123,3,0.05204461,87,15,0.093023256,3
16495,395,222,50.00869238,298.6597695,331,767,737,2000,27,13.03476953,63,0.032202867,1.5,124,4,0.051626818,88,12,0.032466789,3
18074,395,222,50.41463415,292.9466232,360,803,748,2067,27,13.19029086,75,0.036319613,1.333333333,123,5,0.05472155,88,12,0.004716066,4
35750,389,221,39.05405405,214.7297297,230,665,596,1445,24,10.02702703,43,0.029351536,1.0,118,3,0.053924915,86,15,0.139534884,3
34917,389,221,39.28205128,212.4358974,261,689,606,1532,24,10.05128205,44,0.02818706,1.0,121,3,0.052530429,87,15,0.152173913,3
34273,389,221,39.02702703,214.3513514,230,665,596,1444,24,10.02702703,43,0.029431896,1.0,118,3,0.054072553,87,15,0.075,3
51339,389,221,38.93333333,203.6666667,282,751,666,1752,24,9.711111111,51,0.028317601,1.2,122,8,0.052748473,87,17,0.0,6
7293,395,222,49.625,292.3062024,333,803,729,1985,27,12.7,64,0.033126294,1.5,123,4,0.051759834,88,12,0.0,3
17163,395,222,48.93181818,286.259867,347,791,750,2153,27,12.56379647,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.0,4
32780,389,221,39.14634146,210.2926829,267,667,642,1605,24,10.19512195,45,0.027305825,1.0,121,3,0.05157767,86,16,0.0,3
20198,389,221,39.67136461,214.1747761,292,780,703,1855,24,10.8584741,59,0.03102645,1.080639059,122,3,0.055048912,87,17,0.060332816,3
42629,389,221,39.19047619,212.2619048,265,694,661,1646,24,10.92857143,49,0.02892562,1.0,122,3,0.053128689,87,16,0.0,3
25002,395,222,49.95182663,288.3623177,355,808,747,2071,27,12.8625822,73,0.035434292,1.312816092,123,5,0.054044851,88,12,0.005595611,4
53670,389,221,37.70454545,197.5909091,269,691,650,1659,24,9.25,48,0.028169014,1.0,122,3,0.053403756,87,17,0.043478261,3
28549,395,222,51.8643889,301.3844021,401,877,770,2178,27,13.0265701,78,0.036290841,1.25,124,6,0.054901529,88,12,0.023255814,5
27952,395,222,50.45,293.0107847,351,843,727,2018,27,12.96552314,60,0.03003003,1.333333333,123,5,0.048548549,88,13,0.090909091,4
42123,389,221,37.28888889,195.6222222,273,706,644,1678,24,9.533333333,58,0.033467975,1.0,122,3,0.058857473,86,19,0.0,3
15661,395,222,52.05,305.2530711,383,887,768,2082,27,13.33114223,76,0.036573628,1.25,123,6,0.054379211,88,12,0.0,5
47368,389,221,38.575,208.0,253,713,574,1543,24,9.725,47,0.029578351,1.5,121,403,0.054122089,88,15,0.0,6
22070,395,222,49.16817178,287.5067357,351,788,733,2026,27,12.76111107,66,0.033023987,1.315394227,123,5,0.051979896,88,12,0.023690327,4
26878,395,222,52.025,306.34939,400,901,765,2081,27,13.575,77,0.037542662,1.25,123,6,0.05607021,88,12,0.0,5
2781,395,222,50.58536585,298.5724596,350,809,746,2074,27,13.23928427,72,0.035485461,1.333333333,123,5,0.053721045,88,12,0.023809524,4
3749,395,222,49.56097561,282.0121364,337,780,737,2032,27,12.52407454,68,0.033613445,1.333333333,124,5,0.05239743,88,12,0.046511628,4
40969,389,221,39.075,215.225,259,654,640,1563,24,11.175,47,0.029228856,1.0,122,3,0.052860697,86,15,0.071428571,3
43874,389,221,38.4047619,208.6904762,262,680,648,1613,24,10.73809524,48,0.028915663,1.0,122,3,0.053614458,86,16,0.0,3
39476,389,221,37.575,204.175,232,691,604,1503,24,9.475,46,0.030144168,1.0,119,4,0.05570118,87,16,0.047619048,4
37052,385,220,36.78125,182.03125,186,435,406,1177,23,10.28125,36,0.02970297,1.0,116,2,0.055280528,88,13,0.0,2
19550,395,222,49.76190476,292.0698698,360,808,746,2090,27,12.84406904,73,0.035505837,1.333333333,123,5,0.054961089,88,12,0.0,4
9361,392,222,43.17394165,251.8429451,340,921,723,1837,24,10.6025221,77,0.041404967,1.475543483,126,5,0.062646136,87,17,0.206858948,4
8589,395,222,48.93181818,287.0837085,347,791,751,2153,27,12.63456348,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.0,4
34305,389,221,38.28947368,204.2105263,226,626,581,1455,24,9.842105263,44,0.029749831,1.0,119,3,0.054766734,87,15,0.05,3
8641,395,222,47.06989324,279.6786749,307,722,662,1506,27,12.59112587,54,0.037048385,1.770993052,124,3,0.055420716,88,11,0.166446783,2
34462,389,221,39.08108108,214.7567568,230,667,596,1446,24,10.16216216,43,0.029452055,1.0,119,3,0.054109589,86,15,0.0,3
40951,389,221,39.56097561,215.8292683,267,670,645,1622,24,11.29268293,47,0.028177458,1.0,123,3,0.052158273,86,16,0.0,3
44971,389,221,37.73913043,198.5652174,278,710,681,1736,24,9.891304348,59,0.032887402,1.0,122,3,0.057971014,87,19,0.021276596,3
19598,395,222,52.45238095,306.7044813,445,943,772,2203,27,13.32880202,89,0.0402169,1.2,123,7,0.057840036,88,12,0.0,6
57475,389,221,39.05405405,215.0,230,665,596,1445,24,10.16216216,43,0.029512697,1.0,118,3,0.054221002,87,15,0.026315789,3
37717,389,221,39.02702703,215.1081081,230,671,594,1444,24,10.10810811,42,0.028767123,1.0,119,3,0.053424658,87,15,0.097560976,3
53013,389,221,38.07894737,209.5,230,667,596,1447,24,9.842105263,43,0.029431896,1.0,119,3,0.054072553,87,15,0.075,3
6206,395,222,49.76923077,292.1982498,329,801,723,1941,27,12.9261416,63,0.033386328,1.5,123,4,0.051934287,88,12,0.0,3
52818,389,221,38.11627907,203.3023256,269,678,654,1639,24,9.860465116,48,0.028503563,1.0,122,3,0.052256532,86,17,0.086956522,3
42386,389,221,39.28947368,214.7894737,252,679,598,1493,24,10.18421053,44,0.029100529,1.0,119,3,0.053571429,86,15,0.05,3
57290,389,221,37.57777778,196.0222222,274,698,651,1691,24,9.222222222,53,0.030512378,1.25,122,35435,0.055843408,86,18,0.0,5
47876,389,221,38.675,213.975,252,692,650,1547,24,10.025,43,0.027546445,12.2,119,18559,0.051889814,86,16,0.133333333,61
38444,389,221,38.48837209,203.3255814,274,693,651,1655,24,9.441860465,47,0.02776137,1.25,123,6,0.051978736,87,16,0.023255814,5
41808,389,221,38.7,213.875,252,692,650,1548,24,10.0,43,0.027581783,12.2,119,18559,0.051956382,87,16,0.025,61
19671,395,222,52.29684325,307.3666227,420,928,786,2144,27,13.48780488,82,0.038637196,1.230052548,123,6,0.056761337,88,12,0.0,5
11222,395,222,52.47595416,308.5757847,446,926,796,2361,27,13.39679121,100,0.042665377,1.166666667,124,8,0.060925262,88,12,0.0,7
27402,395,222,49.56304512,281.8928205,337,779,736,2031,27,12.54243231,67,0.033616499,1.333333333,124,5,0.052399378,88,12,0.046805048,4
30339,389,221,39.08108108,215.1081081,230,672,596,1446,24,10.24324324,43,0.029492455,1.0,119,3,0.054183813,87,15,0.0,3
23449,395,222,52.1771453,306.1141795,399,897,760,2087,27,13.50979487,79,0.038197472,1.25,123,6,0.056015828,88,12,0.0,5
46823,389,221,39.08108108,215.2702703,230,673,594,1446,24,10.08108108,42,0.028649386,1.0,119,3,0.053206003,87,15,0.139534884,3
31386,389,221,39.0,211.1,239,752,635,1560,24,10.275,43,0.02735369,1.0,121,3,0.051526718,86,16,0.025,3
701,395,222,49.53846154,282.5897436,322,774,726,1932,27,12.87179487,67,0.034859521,1.333333333,124,5,0.05359001,88,12,0.0,4
609,392,222,45.81481481,262.2363636,493,1032,816,2474,24,11.14545455,95,0.037743345,1.25,126,6,0.058005562,87,17,0.018181818,5
57648,389,221,39.71794872,217.1025641,259,652,634,1549,24,10.64102564,46,0.028858218,1.0,121,3,0.052697616,86,15,0.113636364,3
15150,392,222,45.34146341,264.386328,366,937,740,1859,24,11.03374687,80,0.042395337,1.666666667,126,7,0.062533121,87,17,0.259259259,5
39055,389,221,39.23076923,212.1282051,257,679,600,1530,24,10.07692308,44,0.02818706,1.0,122,3,0.052530429,86,15,0.071428571,3
52357,389,221,39.37142857,214.2571429,223,600,572,1378,24,10.17142857,44,0.031383738,1.0,119,2,0.055634807,86,14,0.0,2
56186,389,221,40.15384615,221.7179487,260,660,640,1566,24,11.53846154,48,0.029758215,1.0,122,3,0.053316801,86,15,0.113636364,3
46750,389,221,39.13513514,215.8378378,231,672,594,1448,24,10.16216216,43,0.029431896,1.0,119,3,0.054072553,86,15,0.0,3
15608,392,222,43.75710841,251.6346518,327,853,724,1794,24,10.77571084,76,0.04188408,1.467357413,127,4,0.062783921,87,16,0.212614031,3
303,395,222,49.52380952,291.7380952,356,801,746,2080,27,12.95238095,70,0.034263338,1.333333333,125,5,0.053842389,88,12,0.0,4
18167,395,222,51.42857143,298.7285448,396,922,777,2160,27,13.09099349,80,0.037972375,1.25,125,6,0.055327335,88,12,0.024821321,5
57298,389,221,39.94871795,218.1538462,259,655,634,1558,24,10.79487179,46,0.028696195,1.0,123,3,0.052401747,86,15,0.113636364,3
582,392,222,42.53333333,246.8888889,398,934,727,1914,24,10.71111111,87,0.044638276,1.25,127,6,0.066187789,87,17,0.063829787,5
31468,389,221,39.05405405,215.0,230,673,594,1445,24,10.10810811,42,0.02878684,1.0,119,3,0.053461275,87,15,0.0,3
52542,389,221,39.05128205,210.8717949,257,661,600,1523,24,9.974358974,46,0.029562982,1.0,121,3,0.053984576,87,15,0.133333333,3
21945,392,222,42.87108895,247.4677629,340,909,726,1866,24,10.49271497,75,0.039789942,1.362372004,126,6,0.061303448,87,18,0.160699597,5
54686,389,221,38.9047619,210.452381,261,681,649,1634,24,10.85714286,51,0.030285036,1.0,122,4,0.054631829,87,16,0.045454545,4
41716,389,221,38.75609756,208.8536585,261,723,635,1589,24,9.731707317,50,0.030921459,1.0,119,3,0.055658627,86,16,0.068181818,3
43349,389,221,39.075,209.0,262,669,606,1563,24,9.85,45,0.028125,1.0,123,3,0.0525,87,16,0.024390244,3
46268,389,221,39.10810811,215.2702703,230,672,594,1447,24,10.24324324,42,0.02878684,1.0,119,3,0.053461275,86,15,0.0,3
9841,395,222,51.4047619,306.4182748,387,860,837,2159,27,13.18945402,71,0.033443241,1.25,124,6,0.052284503,88,12,0.023255814,5
12288,395,222,49.76923077,293.380296,329,801,723,1941,27,13.01295826,63,0.033386328,1.5,123,4,0.051934287,88,12,0.0,3
45376,389,221,45.07407407,269.1481481,218,555,518,1217,24,14.07407407,30,0.024077047,1.0,120,2,0.04494382,88,9,0.0,2
791,395,222,49.56097561,281.804878,337,780,737,2032,27,12.53658537,68,0.033613445,1.333333333,124,5,0.05239743,88,12,0.046511628,4
16430,395,222,50.94083839,295.7393623,398,931,781,2189,27,13.07694938,81,0.037555084,1.247917377,124,6,0.055142302,88,12,0.023255814,5
5449,395,222,48.21833378,273.7751434,358,845,755,2159,27,12.25303661,77,0.036526718,1.25,125,6,0.05528998,88,12,0.020032108,5
5304,395,222,49.02992346,282.1796156,351,841,764,2114,27,12.56031298,71,0.033999206,1.27340931,123,5,0.052998495,88,13,0.0,4
9774,392,222,43.29979802,248.6019358,412,950,739,1981,24,10.71329866,94,0.046740012,1.224169005,126,7,0.067867275,87,17,0.075367757,6
4407,395,222,49.76190476,292.6338509,360,808,746,2090,27,12.89639749,73,0.035505837,1.333333333,123,5,0.054961089,88,12,0.0,4
