,Class
9434,0
26912,0
47022,1
19371,0
17129,0
37131,1
42761,1
36233,1
16495,0
18074,0
35750,1
34917,1
34273,1
51339,1
7293,0
17163,0
32780,1
20198,0
42629,1
25002,0
53670,1
28549,0
27952,0
42123,1
15661,0
47368,1
22070,0
26878,0
2781,0
3749,0
40969,1
43874,1
39476,1
37052,1
19550,0
9361,0
8589,0
34305,1
8641,0
34462,1
40951,1
44971,1
19598,0
57475,1
37717,1
53013,1
6206,0
52818,1
42386,1
57290,1
47876,1
38444,1
41808,1
19671,0
11222,0
27402,0
30339,1
23449,0
46823,1
31386,1
701,0
609,0
57648,1
15150,0
39055,1
52357,1
56186,1
46750,1
15608,0
303,0
18167,0
57298,1
582,0
31468,1
52542,1
21945,0
54686,1
41716,1
43349,1
46268,1
9841,0
12288,0
45376,1
791,0
16430,0
5449,0
5304,0
9774,0
4407,0
7699,0
16987,0
47727,1
43624,1
9308,0
33414,1
24134,0
37687,1
17291,0
18847,0
52797,1
20548,0
41174,1
53316,1
21711,0
14991,0
23639,0
38132,1
49839,1
56463,1
10470,0
10876,0
12162,0
48576,1
35009,1
51877,1
57498,1
11919,0
19012,0
58525,1
48046,1
58406,1
13297,0
38473,1
23181,0
24424,0
22038,0
39066,1
52645,1
54728,1
40380,1
18956,0
45421,1
23647,0
41959,1
51029,1
30020,1
14632,0
8612,0
45552,1
15697,0
6182,0
16975,0
43022,1
11529,0
55530,1
12064,0
42094,1
36741,1
17110,0
42731,1
55152,1
40550,1
25339,0
41228,1
18973,0
29919,1
17540,0
52922,1
38983,1
54894,1
2570,0
7138,0
22580,0
4999,0
2441,0
7283,0
48756,1
6676,0
7779,0
51186,1
23453,0
28446,0
53858,1
16333,0
45236,1
11514,0
50529,1
29274,0
46104,1
49752,1
56680,1
39257,1
21694,0
10690,0
14944,0
26847,0
19919,0
27354,0
16884,0
35119,1
38864,1
16122,0
17346,0
52964,1
5608,0
51635,1
13579,0
24768,0
46219,1
24852,0
2246,0
56007,1
22153,0
49486,1
36470,1
52634,1
6226,0
33035,1
5620,0
33970,1
1334,0
54076,1
49081,1
13549,0
36520,1
31,0
38628,1
24878,0
36679,1
55331,1
31711,1
24782,0
14086,0
23469,0
5980,0
54133,1
381,0
14476,0
38541,1
30755,1
41476,1
54385,1
23775,0
53065,1
16293,0
42597,1
18100,0
7000,0
48719,1
38512,1
32797,1
56469,1
13529,0
37750,1
16696,0
13459,0
25140,0
72,0
38465,1
46808,1
57180,1
45502,1
43273,1
15604,0
46648,1
5329,0
26709,0
35023,1
26483,0
17078,0
22172,0
28167,0
41239,1
11250,0
50153,1
47703,1
22748,0
42673,1
32414,1
12102,0
41432,1
22839,0
15046,0
30735,1
16519,0
43915,1
40500,1
29129,0
25149,0
6454,0
4315,0
17902,0
35694,1
779,0
17807,0
54895,1
13754,0
52009,1
8509,0
17316,0
57886,1
16664,0
33052,1
257,0
1640,0
46625,1
1057,0
2722,0
4690,0
44537,1
20451,0
47707,1
46133,1
36452,1
53608,1
41578,1
10499,0
15331,0
25989,0
41335,1
35347,1
2716,0
21934,0
11339,0
13259,0
47449,1
38159,1
22397,0
41557,1
8345,0
4968,0
32646,1
29479,1
50357,1
13775,0
5611,0
21808,0
58203,1
41530,1
36500,1
37801,1
53217,1
49637,1
18134,0
51417,1
