feature,importance,cumulative
svcscan.nservices,0.23507475033620867,23.507475033620867
svcscan.kernel_drivers,0.17450854359513418,40.958329393134285
dlllist.avg_dlls_per_proc,0.12594120942351747,53.552450335486036
pslist.avg_handlers,0.11494585307299278,65.04703564278532
handles.nkey,0.08660159063874717,73.70719470666003
handles.nmutant,0.07464380536058877,81.1715752427189
handles.nsemaphore,0.05606679318901306,86.77825456162022
dlllist.ndlls,0.04746158975203471,91.52441353682369
ldrmodules.not_in_load,0.02582038362343523,94.10645189916721
svcscan.nactive,0.022247818371292753,96.33123373629648
svcscan.process_services,0.0130905433243456,97.64028806873104
pslist.avg_threads,0.009568971480437043,98.59718521677475
malfind.uniqueInjections,0.007127012641419437,99.30988648091669
pslist.nppid,0.0017528062992441483,99.4851671108411
ldrmodules.not_in_load_avg,0.0012709546671375754,99.61226257755486
ldrmodules.not_in_init_avg,0.0011660447531095677,99.72886705286581
malfind.commitCharge,0.0009762459270581313,99.82649164557162
malfind.ninjections,0.000823371610012882,99.90882880657291
callbacks.ncallbacks,0.0006506336722047779,99.97389217379339
psxview.not_in_ethread_pool_false_avg,0.0002610782620661047,100.0
