feature,SHAP_Decision Tree,SHAP_Random Forest,SHAP_XGBoost,SHAP_EBM,SHAP_Logistic Regression
callbacks.ncallbacks,0.020193350931255852,0.012132361311263301,0.36825848,0.007916151981403188,0.0003590841656379745
dlllist.avg_dlls_per_proc,0.0,0.043330530000663094,0.092813745,0.0038245672263590015,0.00012624933914469005
dlllist.ndlls,0.017232067540156343,0.02083787726222505,0.3643537,0.03785650587926611,0.037941743490834526
handles.nkey,0.0,0.025777483984090507,0.76560634,0.004363905564890259,4.94123243573989e-05
handles.nmutant,0.0003442257024843565,0.029000197372983694,0.36298215,0.03257875716537056,0.058905763654348124
handles.nsemaphore,0.0004730293003602332,0.020596599146555098,0.77771735,0.027761805604258716,0.011278724048763218
ldrmodules.not_in_init_avg,0.0,0.0030762048659137868,0.16635348,0.0020552162752303623,0.00036237380673253834
ldrmodules.not_in_load,6.844608795869147e-05,0.009771130136444445,0.57504576,0.01946038588231959,0.10919766713672967
ldrmodules.not_in_load_avg,0.00026165718989035484,0.004302828973179699,0.08650568,0.02029867026681138,0.009376841128628306
malfind.commitCharge,0.0,0.005286617997131778,0.7072371,0.005213905874356286,0.0013873675878622017
malfind.ninjections,0.0,0.002354390648425523,0.20822331,0.002273704995204304,0.012565594762356325
malfind.uniqueInjections,0.0021307133017484806,0.0047268438454161855,0.61442304,0.03371115670246952,0.002746454133052456
pslist.avg_handlers,0.06806688662530237,0.06071383302373951,0.7632574,0.0009660602037606925,0.0002514704690753565
pslist.avg_threads,0.010490950638090355,0.011624921363296974,1.1001163,0.04238963995602615,0.0546184307862482
pslist.nppid,0.0,0.004959457922698193,0.2869736,0.0005271537126242293,0.016256173690153544
psxview.not_in_ethread_pool_false_avg,0.02333373531863771,0.0025664051530058666,0.7228856,0.003973758352834625,0.012549235831618573
svcscan.kernel_drivers,0.0,0.07151371812823562,0.0,8.55455574339397e-05,0.00025270263808697404
svcscan.nactive,0.0,0.010920149593905496,0.18500277,0.00019403601781373348,0.007184090583515642
svcscan.nservices,0.3005744861581057,0.13396708010209546,4.7516007,0.04225852194016477,0.06866603126306772
svcscan.process_services,0.09206249671350482,0.04389306638319822,1.2215793,0.20989055067255008,0.15850383811792695
